week,focus_region,policy_packages,active_oem_target_k,active_market_gwh_2023,cell_production_gwh,oem_production_k,market_demand_gwh,total_backlog_k,price_signal,raw_price_signal,oem_uk_oem_k,stock_lithium_wk,stock_cobalt_wk,stock_graphite_wk,stock_ree_wk,stock_sic_wafer_wk,stock_copper_wk,stock_cells_wk,stock_packs_wk,stock_inverters_wk,stock_motors_wk,stock_harness_wk,price_lithium,price_cobalt,price_graphite,price_ree,price_sic_wafer,price_copper,price_component_pack,price_component_inverter,price_component_motor,price_component_harness,price_component_vehicle,price_component_sic,price_component_parts,price_component_labour,oem_price_margin_signal,cell_capacity_gwh_yr,cell_cap_util,lfp_share,sd_ev_demand_gwh_yr,sd_oem_backlog_k,bullwhip_index,t1_battery_pack_k,t1_inverter_k,t1_motor_k,t1_harness_k,scenario
0,uk,none,175,20,0.3866213457497003,3.554050244038415,0.3864456136600355,2.3631095192751945,1.0008904111015917,1.0445205550795822,3.554050244038415,4.975545771932341,6.975562591490267,4.975545771932341,8.986248428391816,12.986248428391816,3.986248428391816,4.010709580084397,3.0005493047283975,8.000549304728397,6.0005493047283975,2.0005493047283975,1.0089758275231602,1.0101946365090642,1.0089758275231602,1.0108271137173999,1.0115187512113828,1.007827930087864,1.0008206271702018,1.002904179059985,1.0032867012601565,1.0013626691444428,1.0044520555079581,1.0009215000969107,1.0028004246828601,1.0000227440038572,1.0031213111952648,1424.178474244798,0.014116425955423296,0.40274893498120234,743.638320496431,2.391266889192901,0.9520984508896242,3.701923076923077,3.701923076923077,3.701923076923077,3.701923076923077,drc_cobalt
1,uk,none,175,20,0.3913494810545573,3.5762507821439904,0.38635010917430374,4.73217587036252,1.0024570634770023,1.0471682302148262,3.5762507821439904,5.950792484073102,7.950839850590653,5.950792484073102,9.972529794057744,13.972417482136802,4.972417482136802,4.021638885276995,3.001095515537111,8.00109551553711,6.001095515537112,2.001095515537111,1.0133805104334939,1.0165685393567323,1.0133805104334939,1.0183801836143171,1.0204799223017977,1.0107495274518583,1.0018456674273597,1.0061328172327844,1.0066906862810825,1.0027507724989009,1.0087236729786448,1.0024861738733017,1.005596943731612,1.000045488525004,1.0058645531989718,1352.2459276363143,0.015049165687197505,0.40250146844612905,674.6220917459477,4.758863940499737,0.9093007240317681,3.723290731849768,3.723290731849768,3.723290731849768,3.723290731849768,drc_cobalt
2,uk,none,175,20,0.3929928252299121,3.5983966523955777,0.3861700116200275,7.077627051417768,1.004520247447138,1.0492167764690015,3.5983966523955777,6.925935252875765,8.926020927918797,6.925935252875765,10.958810727857463,14.958506653244571,5.958506653244571,4.032592291389691,3.001639343491765,8.001639343491766,6.0016393434917665,2.001639343491765,1.0149341946595132,1.0199410240890963,1.0149341946595132,1.0230974399365875,1.0270247134708552,1.0113251838576662,1.0027245710984498,1.0095127941340947,1.0100896710239415,1.0040764332231518,1.0127729833276806,1.004449257041106,1.00838888056105,1.0000682335634523,1.0084772836734095,1284.0032129973724,0.015915557457407428,0.40225762234787527,612.1361929524355,7.101544389950735,0.8711100681950694,3.7447951377884285,3.7447951377884285,3.7447951377884285,3.7447951377884285,drc_cobalt
3,uk,none,175,20,0.39421355463460495,3.6206191165103427,0.38593141270980685,9.398085036754003,1.0069335508341493,1.0509107938728173,3.6206191165103427,7.901000809192362,9.901126691516298,7.901000809192362,11.945061881871107,15.944515436288249,5.957916483108062,4.043542562398048,3.002181009495226,8.002181009495226,6.002181009495227,2.002181009495226,1.0151103053604005,1.0213434734858582,1.0151103053604005,1.0256842547056462,1.0315134696446508,1.01139349155349,1.0033096241943722,1.0129118902238454,1.013403007153198,1.0053286179808636,1.0165867643821942,1.0066143940493897,1.0111759032784589,1.0000909791192139,1.0110758641075388,1219.2613827140747,0.01681272377820125,0.40201695262404014,555.6430819013839,9.418331622822036,0.8370760432433966,3.7664356046421354,3.7664356046421354,3.7664356046421354,3.7664356046421354,drc_cobalt
4,uk,none,175,20,0.39519851216386004,3.6429814068715216,0.3856555796435073,11.692509979264125,1.0095805139877752,1.0524027865830379,3.6429814068715216,8.876004065854989,10.876171365667922,8.901269538262472,12.931260843880631,16.877361423197208,5.957709336739651,4.05447427897788,3.002720500880728,8.002720500880729,6.00272050088073,2.0027205008807285,1.014719031092437,1.0215926503761001,1.014714502253088,1.0268070737354766,1.0343919072408445,1.0113019302199526,1.0035651799280432,1.016238476325577,1.0165850686070068,1.006510182478895,1.0201683666022785,1.008836595104706,1.0139578552740813,1.0001137251923005,1.0137039456377865,1157.8411656537282,0.01774882707760508,0.4017788398401716,504.55468375320345,11.70851297969678,0.8067904845995945,3.788212487848686,3.788212487848686,3.788212487848686,3.788212487848686,drc_cobalt
5,uk,none,175,20,0.39602256570295724,3.6655085038607864,0.38535942294449926,13.960164239149604,1.0123702449822256,1.0537763901797699,3.6655085038607864,9.85095520021913,11.851164962024987,9.855881352336494,13.917391888138516,17.89842191048509,5.957476477786549,4.06537675409671,3.0032577153731377,8.003257715373138,6.003257715373139,2.003257715373138,1.01412341344315,1.0212187050713215,1.0141178889238613,1.0269843356603359,1.03599291871208,1.0111517393713414,1.0035061508506604,1.0194303569692873,1.0196153807668726,1.0076273133163778,1.0235291689600277,1.011009100993296,1.0167346696791582,1.000136471782724,1.0163709820408995,1099.572471363344,0.01872834574607038,0.40154265626413704,458.34213538503167,13.971610982674443,0.7798838126119062,3.8101266452174007,3.8101266452174007,3.8101266452174007,3.8101266452174007,drc_cobalt
6,uk,none,175,20,0.39673896003064535,3.6882071190514774,0.3850561262906745,16.200563626936578,1.0152330229221578,1.0550788261786184,3.6882071190514774,10.841604853446903,12.826114412750057,10.85003504132955,14.903444553347729,18.928464712503697,5.957413400546847,4.076242664596459,3.003792529684536,8.003792529684537,6.003792529684539,2.003792529684536,1.0134702878350081,1.0205313560770501,1.0134645856936368,1.0265800652572314,1.0366288935606478,1.0109806436835413,1.0031673171467754,1.022450077250824,1.0224897282312246,1.0086868281633825,1.0266841346818867,1.0130586843986842,1.0195063259731012,1.0001592188904957,1.0190714789787392,1044.293919888075,0.0197553825878874,0.4013078454254288,416.54657286198136,16.20734426809488,0.7560216348677176,3.8321791316799367,3.8321791316799367,3.8321791316799367,3.8321791316799367,drc_cobalt
7,uk,none,175,20,0.3973856972099606,3.7110757796460687,0.3847557861203597,18.413428251762426,1.018116332981045,1.0563385200289566,3.7110757796460687,11.81076806021617,13.801024391345255,11.831022880193085,15.889412109150141,19.92668961672858,5.956978011297765,4.087067086883894,3.0043248301077967,8.004324830107798,6.0043248301078,2.004324830107797,1.0128168556313055,1.0197012472139264,1.0128111510472284,1.0258349602522112,1.0365739772350626,1.0108047337581796,1.0025893448004999,1.0252798279425461,1.0252135229829282,1.0096953142845888,1.0296495732165938,1.0149399078255945,1.0222728278192599,1.000181966515628,1.0217940589187646,991.852395764396,0.020833801826926755,0.4010739495623116,378.7053426024913,18.415588274915883,0.7349016120892958,3.8543710535879123,3.8543710535879123,3.8543710535879123,3.8543710535879123,drc_cobalt
8,uk,none,175,20,0.3979899861778562,3.734109624989111,0.384465991637098,20.598638413240387,1.020981441777526,1.057572610685159,3.734109624989111,12.815066931517144,14.703969397836465,12.884497607038762,16.875290312557212,20.925748188062325,5.956990164398009,4.097846814304633,3.004854525050292,8.004854525050293,6.004854525050296,2.0048545250502925,1.0121834905556766,1.018821629556356,1.0121777641999836,1.0249023579984582,1.0360352002683975,1.0106311046063212,1.0018120837245719,1.0279153755748691,1.0277973371211515,1.010658828784663,1.0324418769634502,1.0166275312210187,1.0250341916315127,1.0002047146581323,1.0245260637332083,942.1026248884483,0.02196733002808374,0.40084061069936605,370.9992231565129,20.59634005972828,0.7162505685927102,3.8767035035088333,3.8767035035088333,3.8767035035088333,3.8767035035088333,drc_cobalt
9,uk,none,175,20,0.3985713506000281,3.7573028878280357,0.3841923267265636,22.756196935213858,1.0238005216212642,1.0587915172911198,3.7573028878280357,13.776358528242074,15.67950826001447,13.84993018794301,17.861076517991176,21.966703309432553,5.9568619547882395,4.108579871192376,3.005381548250418,8.005381548250417,6.005381548250421,2.0053815482504183,1.0115771375676288,1.0179363597496633,1.011571539210233,1.0238775390313595,1.0351604835959578,1.0104629726800816,1.0008716558374617,1.030361166478986,1.0302540840046726,1.0115828207398394,1.0350768409962172,1.0181101674110138,1.027790440595565,1.0002274633180204,1.0272557255090715,894.9067730577829,0.02315963053937377,0.4006075583198134,370.99780009897813,22.749688352308915,0.6998218318693433,3.899177533301885,3.899177533301885,3.899177533301885,3.899177533301885,drc_cobalt
